Blocks,Age,Faults,Time,Output
6,4,0,289,0
2,8,20,65,0
7,4,0,283,0
4,3,3,121,0
7,2,0,346,0
8,1,0,389,0
8,0,0,270,0
6,7,0,345,1
6,5,0,289,0
2,9,20,65,0
7,5,0,283,0
4,4,3,121,0
7,3,0,346,0
8,2,0,389,0
8,1,0,270,0
7,0,0,372,0
6,6,0,289,1
2,10,20,65,0
7,6,0,283,1
4,5,3,121,0
7,4,0,346,0
8,3,0,389,0
8,2,0,270,0
7,1,0,372,0
7,0,0,320,0
2,11,20,65,0
8,0,0,308,0
4,6,3,121,0
7,5,0,346,1
8,4,0,389,0
8,3,0,270,0
7,2,0,372,0
7,1,0,320,0
2,12,20,65,0
8,1,0,308,0
4,7,3,121,0
8,0,0,388,0
8,5,0,389,1
8,4,0,270,0
7,3,0,372,0
7,2,0,320,0
2,13,20,65,0
8,2,0,308,0
4,8,3,121,0
8,1,0,388,0
9,0,0,421,0
8,5,0,270,1
7,4,0,372,0
7,3,0,320,0
2,14,20,65,0
8,3,0,308,0
4,9,3,121,1
8,2,0,388,0
9,1,0,421,0
9,0,0,293,0
7,5,0,372,0
7,4,0,320,0
2,15,20,65,0
8,4,0,308,0
5,0,3,178,0
8,3,0,388,0
9,2,0,421,0
9,1,0,293,0
7,6,0,372,1
7,5,0,320,0
2,16,20,65,0
8,5,0,308,0
5,1,3,178,0
8,4,0,388,0
9,3,0,421,0
9,2,0,293,0
8,0,0,429,0
7,6,0,320,1
2,17,20,65,0
8,6,0,308,1
5,2,3,178,0
8,5,0,388,0
9,4,0,421,0
9,3,0,293,0
8,1,0,429,0
8,0,0,349,0
2,18,20,65,0
9,0,0,346,0
5,3,3,178,0
8,6,0,388,1
9,5,0,421,0
9,4,0,293,0
8,2,0,429,0
8,1,0,349,0
2,19,20,65,0
9,1,0,346,0
5,4,3,178,0
9,0,0,424,0
9,6,0,421,1
9,5,0,293,0
8,3,0,429,0
8,2,0,349,0
2,20,20,65,0
9,2,0,346,0
5,5,3,178,0
9,1,0,424,0
10,0,0,491,0
9,6,0,293,1
8,4,0,429,0
8,3,0,349,0
2,21,20,65,0
9,3,0,346,0
5,6,3,178,0
9,2,0,424,0
10,1,0,491,0
10,0,0,324,0
8,5,0,429,0
8,4,0,349,0
2,22,20,65,1
9,4,0,346,0
5,7,3,178,0
9,3,0,424,0
10,2,0,491,0
10,1,0,324,0
8,6,0,429,1
8,5,0,349,0
3,0,20,103,0
9,5,0,346,0
5,8,3,178,0
9,4,0,424,0
10,3,0,491,0
10,2,0,324,0
9,0,0,456,0
8,6,0,349,1
3,1,20,103,0
9,6,0,346,1
5,9,3,178,0
9,5,0,424,0
10,4,0,491,0
10,3,0,324,0
9,1,0,456,0
9,0,0,377,0
3,2,20,103,0
10,0,0,396,0
5,10,3,178,0
9,6,0,424,1
10,5,0,491,0
10,4,0,324,0
9,2,0,456,0
9,1,0,377,0
3,3,20,103,0
10,1,0,396,0
5,11,3,178,1
10,0,0,448,0
10,6,0,491,0
10,5,0,324,0
9,3,0,456,0
9,2,0,377,0
3,4,20,103,0
10,2,0,396,0
6,0,3,212,0
10,1,0,448,0
10,7,0,491,0
10,6,0,324,1
9,4,0,456,0
9,3,0,377,0
3,5,20,103,0
10,3,0,396,0
6,1,3,212,0
10,2,0,448,0
10,8,0,491,1
11,0,0,404,0
9,5,0,456,0
9,4,0,377,0
3,6,20,103,0
10,4,0,396,0
6,2,3,212,0
10,3,0,448,0
11,0,0,521,0
11,1,0,404,0
9,6,0,456,1
9,5,0,377,0
3,7,20,103,0
10,5,0,396,0
6,3,3,212,0
10,4,0,448,0
11,1,0,521,0
11,2,0,404,0
10,0,0,489,0
9,6,0,377,1
3,8,20,103,0
10,6,0,396,1
6,4,3,212,0
10,5,0,448,0
11,2,0,521,0
11,3,0,404,0
10,1,0,489,0
10,0,0,395,0
3,9,20,103,0
11,0,0,452,0
6,5,3,212,0
10,6,0,448,1
11,3,0,521,0
11,4,0,404,0
10,2,0,489,0
10,1,0,395,0
3,10,20,103,0
11,1,0,452,0
6,6,3,212,0
11,0,0,488,0
11,4,0,521,0
11,5,0,404,1
10,3,0,489,0
10,2,0,395,0
3,11,20,103,0
11,2,0,452,0
6,7,3,212,0
11,1,0,488,0
11,5,0,521,1
12,0,0,431,0
10,4,0,489,0
10,3,0,395,0
3,12,20,103,0
11,3,0,452,0
6,8,3,212,0
11,2,0,488,0
12,0,0,584,0
12,1,0,431,0
10,5,0,489,1
10,4,0,395,0
3,13,20,103,0
11,4,0,452,0
6,9,3,212,0
11,3,0,488,0
12,1,0,584,0
12,2,0,431,0
11,0,0,520,0
10,5,0,395,1
3,14,20,103,0
11,5,0,452,0
6,10,3,212,1
11,4,0,488,0
12,2,0,584,0
12,3,0,431,0
11,1,0,520,0
11,0,0,427,0
3,15,20,103,0
11,6,0,452,1
7,0,3,251,0
11,5,0,488,0
12,3,0,584,0
12,4,0,431,0
11,2,0,520,0
11,1,0,427,0
3,16,20,103,0
12,0,0,480,0
7,1,3,251,0
11,6,0,488,1
12,4,0,584,0
12,5,0,431,0
11,3,0,520,0
11,2,0,427,0
3,17,20,103,0
12,1,0,480,0
7,2,3,251,0
12,0,0,533,0
12,5,0,584,0
12,6,0,431,1
11,4,0,520,0
11,3,0,427,0
3,18,20,103,0
12,2,0,480,0
7,3,3,251,0
12,1,0,533,0
12,6,0,584,1
13,0,0,465,0
11,5,0,520,0
11,4,0,427,0
3,19,20,103,0
12,3,0,480,0
7,4,3,251,0
12,2,0,533,0
13,0,0,610,0
13,1,0,465,0
11,6,0,520,1
11,5,0,427,0
3,20,20,103,0
12,4,0,480,0
7,5,3,251,0
12,3,0,533,0
13,1,0,610,0
13,2,0,465,0
12,0,0,569,0
11,6,0,427,1
3,21,20,103,0
12,5,0,480,0
7,6,3,251,0
12,4,0,533,0
13,2,0,610,0
13,3,0,465,0
12,1,0,569,0
12,0,0,453,0
3,22,20,103,1
12,6,0,480,1
7,7,3,251,0
12,5,0,533,0
13,3,0,610,0
13,4,0,465,0
12,2,0,569,0
12,1,0,453,0
4,0,20,154,0
13,0,0,506,0
7,8,3,251,0
12,6,0,533,1
13,4,0,610,0
13,5,0,465,0
12,3,0,569,0
12,2,0,453,0
4,1,20,154,0
13,1,0,506,0
7,9,3,251,0
13,0,0,557,0
13,5,0,610,0
13,6,0,465,1
12,4,0,569,0
12,3,0,453,0
4,2,20,154,0
13,2,0,506,0
7,10,3,251,0
13,1,0,557,0
13,6,0,610,1
14,0,0,504,0
12,5,0,569,0
12,4,0,453,0
4,3,20,154,0
13,3,0,506,0
7,11,3,251,1
13,2,0,557,0
14,0,0,667,0
14,1,0,504,0
12,6,0,569,0
12,5,0,453,0
4,4,20,154,0
13,4,0,506,0
8,0,3,294,0
13,3,0,557,0
14,1,0,667,0
14,2,0,504,0
12,7,0,569,1
12,6,0,453,0
4,5,20,154,0
13,5,0,506,0
8,1,3,294,0
13,4,0,557,0
14,2,0,667,0
14,3,0,504,0
13,0,0,599,0
12,7,0,453,1
4,6,20,154,0
13,6,0,506,1
8,2,3,294,0
13,5,0,557,0
14,3,0,667,0
14,4,0,504,0
13,1,0,599,0
13,0,0,491,0
4,7,20,154,0
14,0,0,541,0
8,3,3,294,0
13,6,0,557,1
14,4,0,667,0
14,5,0,504,0
13,2,0,599,0
13,1,0,491,0
4,8,20,154,0
14,1,0,541,0
8,4,3,294,0
14,0,0,588,0
14,5,0,667,0
14,6,0,504,1
13,3,0,599,0
13,2,0,491,0
4,9,20,154,0
14,2,0,541,0
8,5,3,294,0
14,1,0,588,0
14,6,0,667,1
15,0,0,532,0
13,4,0,599,0
13,3,0,491,0
4,10,20,154,0
14,3,0,541,0
8,6,3,294,0
14,2,0,588,0
15,0,0,735,0
15,1,0,532,0
13,5,0,599,1
13,4,0,491,0
4,11,20,154,0
14,4,0,541,0
8,7,3,294,0
14,3,0,588,0
15,1,0,735,0
15,2,0,532,0
14,0,0,629,0
13,5,0,491,1
4,12,20,154,0
14,5,0,541,1
8,8,3,294,0
14,4,0,588,0
15,2,0,735,0
15,3,0,532,0
14,1,0,629,0
14,0,0,544,0
4,13,20,154,0
15,0,0,590,0
8,9,3,294,0
14,5,0,588,1
15,3,0,735,0
15,4,0,532,0
14,2,0,629,0
14,1,0,544,0
4,14,20,154,0
15,1,0,590,0
8,10,3,294,1
15,0,0,605,0
15,4,0,735,0
15,5,0,532,0
14,3,0,629,0
14,2,0,544,0
4,15,20,154,0
15,2,0,590,0
9,0,3,318,0
15,1,0,605,0
15,5,0,735,0
15,6,0,532,1
14,4,0,629,0
14,3,0,544,0
4,16,20,154,0
15,3,0,590,0
9,1,3,318,0
15,2,0,605,0
15,6,0,735,1
16,0,0,594,0
14,5,0,629,0
14,4,0,544,0
4,17,20,154,0
15,4,0,590,0
9,2,3,318,0
15,3,0,605,0
16,0,0,756,0
16,1,0,594,0
14,6,0,629,1
14,5,0,544,0
4,18,20,154,0
15,5,0,590,0
9,3,3,318,0
15,4,0,605,0
16,1,0,756,0
16,2,0,594,0
15,0,0,675,0
14,6,0,544,1
4,19,20,154,0
15,6,0,590,1
9,4,3,318,0
15,5,0,605,0
16,2,0,756,0
16,3,0,594,0
15,1,0,675,0
15,0,0,582,0
4,20,20,154,0
16,0,0,638,0
9,5,3,318,0
15,6,0,605,1
16,3,0,756,0
16,4,0,594,0
15,2,0,675,0
15,1,0,582,0
4,21,20,154,0
16,1,0,638,0
9,6,3,318,0
16,0,0,637,0
16,4,0,756,0
16,5,0,594,1
15,3,0,675,0
15,2,0,582,0
4,22,20,154,0
16,2,0,638,0
9,7,3,318,0
16,1,0,637,0
16,5,0,756,0
17,0,0,657,0
15,4,0,675,0
15,3,0,582,0
4,23,20,154,1
16,3,0,638,0
9,8,3,318,0
16,2,0,637,0
16,6,0,756,1
17,1,0,657,0
15,5,0,675,0
15,4,0,582,0
5,0,20,170,0
16,4,0,638,0
9,9,3,318,0
16,3,0,637,0
17,0,0,809,0
17,2,0,657,0
15,6,0,675,1
15,5,0,582,0
5,1,20,170,0
16,5,0,638,0
9,10,3,318,0
16,4,0,637,0
17,1,0,809,0
17,3,0,657,0
16,0,0,710,0
15,6,0,582,1
5,2,20,170,0
16,6,0,638,0
9,11,3,318,1
16,5,0,637,0
17,2,0,809,0
17,4,0,657,0
16,1,0,710,0
16,0,0,589,0
5,3,20,170,0
16,7,0,638,1
10,0,3,361,0
16,6,0,637,0
17,3,0,809,0
17,5,0,657,0
16,2,0,710,0
16,1,0,589,0
5,4,20,170,0
17,0,0,692,0
10,1,3,361,0
16,7,0,637,1
17,4,0,809,0
17,6,0,657,0
16,3,0,710,0
16,2,0,589,0
5,5,20,170,0
17,1,0,692,0
10,2,3,361,0
17,0,0,673,0
17,5,0,809,0
17,7,0,657,1
16,4,0,710,0
16,3,0,589,0
5,6,20,170,0
17,2,0,692,0
10,3,3,361,0
17,1,0,673,0
17,6,0,809,1
18,0,0,686,0
16,5,0,710,0
16,4,0,589,0
5,7,20,170,0
17,3,0,692,0
10,4,3,361,0
17,2,0,673,0
18,0,0,862,0
18,1,0,686,0
16,6,0,710,1
16,5,0,589,0
5,8,20,170,0
17,4,0,692,0
10,5,3,361,0
17,3,0,673,0
18,1,0,862,0
18,2,0,686,0
17,0,0,744,0
16,6,0,589,1
5,9,20,170,0
17,5,0,692,1
10,6,3,361,0
17,4,0,673,0
18,2,0,862,0
18,3,0,686,0
17,1,0,744,0
17,0,0,646,0
5,10,20,170,0
18,0,0,745,0
10,7,3,361,0
17,5,0,673,1
18,3,0,862,0
18,4,0,686,0
17,2,0,744,0
17,1,0,646,0
5,11,20,170,0
18,1,0,745,0
10,8,3,361,0
18,0,0,704,0
18,4,0,862,0
18,5,0,686,1
17,3,0,744,0
17,2,0,646,0
5,12,20,170,0
18,2,0,745,0
10,9,3,361,1
18,1,0,704,0
18,5,0,862,0
19,0,0,743,0
17,4,0,744,0
17,3,0,646,0
5,13,20,170,0
18,3,0,745,0
11,0,3,396,0
18,2,0,704,0
18,6,0,862,1
19,1,0,743,0
17,5,0,744,0
17,4,0,646,0
5,14,20,170,0
18,4,0,745,0
11,1,3,396,0
18,3,0,704,0
19,0,0,880,0
19,2,0,743,0
17,6,0,744,1
17,5,0,646,0
5,15,20,170,0
18,5,0,745,0
11,2,3,396,0
18,4,0,704,0
19,1,0,880,0
19,3,0,743,0
18,0,0,771,0
17,6,0,646,1
5,16,20,170,0
18,6,0,745,1
11,3,3,396,0
18,5,0,704,0
19,2,0,880,0
19,4,0,743,0
18,1,0,771,0
18,0,0,683,0
5,17,20,170,0
19,0,0,807,0
11,4,3,396,0
18,6,0,704,1
19,3,0,880,0
19,5,0,743,0
18,2,0,771,0
18,1,0,683,0
5,18,20,170,0
19,1,0,807,0
11,5,3,396,0
19,0,0,757,0
19,4,0,880,0
19,6,0,743,1
18,3,0,771,0
18,2,0,683,0
5,19,20,170,0
19,2,0,807,0
11,6,3,396,0
19,1,0,757,0
19,5,0,880,0
20,0,0,838,0
18,4,0,771,0
18,3,0,683,0
5,20,20,170,1
19,3,0,807,0
11,7,3,396,0
19,2,0,757,0
19,6,0,880,1
20,1,0,838,0
18,5,0,771,0
18,4,0,683,0
6,0,20,212,0
19,4,0,807,0
11,8,3,396,0
19,3,0,757,0
20,0,0,904,0
20,2,0,838,0
18,6,0,771,1
18,5,0,683,0
6,1,20,212,0
19,5,0,807,0
11,9,3,396,0
19,4,0,757,0
20,1,0,904,0
20,3,0,838,0
19,0,0,857,0
18,6,0,683,1
6,2,20,212,0
19,6,0,807,1
11,10,3,396,0
19,5,0,757,0
20,2,0,904,0
20,4,0,838,0
19,1,0,857,0
19,0,0,717,0
6,3,20,212,0
20,0,0,862,0
11,11,3,396,1
19,6,0,757,0
20,3,0,904,0
20,5,0,838,0
19,2,0,857,0
19,1,0,717,0
6,4,20,212,0
20,1,0,862,0
12,0,3,469,0
19,7,0,757,1
20,4,0,904,0
20,6,0,838,0
19,3,0,857,0
19,2,0,717,0
6,5,20,212,0
20,2,0,862,0
12,1,3,469,0
20,0,0,834,0
20,5,0,904,0
20,7,0,838,1
19,4,0,857,0
19,3,0,717,0
6,6,20,212,0
20,3,0,862,0
12,2,3,469,0
20,1,0,834,0
20,6,0,904,1
21,0,0,912,0
19,5,0,857,0
19,4,0,717,0
6,7,20,212,0
20,4,0,862,0
12,3,3,469,0
20,2,0,834,0
21,0,0,910,0
21,1,0,912,0
19,6,0,857,1
19,5,0,717,0
6,8,20,212,0
20,5,0,862,0
12,4,3,469,0
20,3,0,834,0
21,1,0,910,0
21,2,0,912,0
20,0,0,874,0
19,6,0,717,1
6,9,20,212,0
20,6,0,862,1
12,5,3,469,0
20,4,0,834,0
21,2,0,910,0
21,3,0,912,0
20,1,0,874,0
20,0,0,840,0
6,10,20,212,0
21,0,0,1011,0
12,6,3,469,0
20,5,0,834,1
21,3,0,910,0
21,4,0,912,0
20,2,0,874,0
20,1,0,840,0
6,11,20,212,0
21,1,0,1011,0
12,7,3,469,0
21,0,0,1049,0
21,4,0,910,0
21,5,0,912,1
20,3,0,874,0
20,2,0,840,0
6,12,20,212,0
21,2,0,1011,0
12,8,3,469,0
21,1,0,1049,0
21,5,0,910,1
22,0,0,978,0
20,4,0,874,0
20,3,0,840,0
6,13,20,212,0
21,3,0,1011,0
12,9,3,469,1
21,2,0,1049,0
22,0,0,994,0
22,1,0,978,0
20,5,0,874,0
20,4,0,840,0
6,14,20,212,0
21,4,0,1011,0
13,0,3,577,0
21,3,0,1049,0
22,1,0,994,0
22,2,0,978,0
20,6,0,874,1
20,5,0,840,0
6,15,20,212,0
21,5,0,1011,0
13,1,3,577,0
21,4,0,1049,0
22,2,0,994,0
22,3,0,978,0
21,0,0,928,0
20,6,0,840,1
6,16,20,212,0
21,6,0,1011,1
13,2,3,577,0
21,5,0,1049,0
22,3,0,994,0
22,4,0,978,0
21,1,0,928,0
21,0,0,899,0
6,17,20,212,0
22,0,0,1116,0
13,3,3,577,0
21,6,0,1049,1
22,4,0,994,0
22,5,0,978,0
21,2,0,928,0
21,1,0,899,0
6,18,20,212,0
22,1,0,1116,0
13,4,3,577,0
22,0,0,1083,0
22,5,0,994,0
22,6,0,978,1
21,3,0,928,0
21,2,0,899,0
6,19,20,212,0
22,2,0,1116,0
13,5,3,577,0
22,1,0,1083,0
22,6,0,994,1
23,0,0,1058,0
21,4,0,928,0
21,3,0,899,0
6,20,20,212,0
22,3,0,1116,0
13,6,3,577,0
22,2,0,1083,0
23,0,0,1126,0
23,1,0,1058,0
21,5,0,928,0
21,4,0,899,0
6,21,20,212,1
22,4,0,1116,0
13,7,3,577,0
22,3,0,1083,0
23,1,0,1126,0
23,2,0,1058,0
21,6,0,928,1
21,5,0,899,0
7,0,20,270,0
22,5,0,1116,0
13,8,3,577,0
22,4,0,1083,0
23,2,0,1126,0
23,3,0,1058,0
22,0,0,1461,0
21,6,0,899,1
7,1,20,270,0
22,6,0,1116,1
13,9,3,577,0
22,5,0,1083,0
23,3,0,1126,0
23,4,0,1058,0
22,1,0,1461,0
22,0,0,1033,0
7,2,20,270,0
23,0,0,1177,0
13,10,3,577,0
22,6,0,1083,1
23,4,0,1126,0
23,5,0,1058,0
22,2,0,1461,0
22,1,0,1033,0
7,3,20,270,0
23,1,0,1177,0
13,11,3,577,1
23,0,0,1120,0
23,5,0,1126,0
23,6,0,1058,0
22,3,0,1461,0
22,2,0,1033,0
7,4,20,270,0
23,2,0,1177,0
14,0,3,629,0
23,1,0,1120,0
23,6,0,1126,0
23,7,0,1058,1
22,4,0,1461,0
22,3,0,1033,0
7,5,20,270,0
23,3,0,1177,0
14,1,3,629,0
23,2,0,1120,0
23,7,0,1126,1
24,0,0,1082,0
22,5,0,1461,0
22,4,0,1033,0
7,6,20,270,0
23,4,0,1177,0
14,2,3,629,0
23,3,0,1120,0
24,0,0,1201,0
24,1,0,1082,0
22,6,0,1461,1
22,5,0,1033,0
7,7,20,270,0
23,5,0,1177,0
14,3,3,629,0
23,4,0,1120,0
24,1,0,1201,0
24,2,0,1082,0
23,0,0,1495,0
22,6,0,1033,1
7,8,20,270,0
23,6,0,1177,1
14,4,3,629,0
23,5,0,1120,0
24,2,0,1201,0
24,3,0,1082,0
23,1,0,1495,0
23,0,0,1044,0
7,9,20,270,0
24,0,0,1217,0
14,5,3,629,0
23,6,0,1120,1
24,3,0,1201,0
24,4,0,1082,0
23,2,0,1495,0
23,1,0,1044,0
7,10,20,270,0
24,1,0,1217,0
14,6,3,629,0
24,0,0,1150,0
24,4,0,1201,0
24,5,0,1082,1
23,3,0,1495,0
23,2,0,1044,0
7,11,20,270,0
24,2,0,1217,0
14,7,3,629,0
24,1,0,1150,0
24,5,0,1201,1
25,0,0,1096,0
23,4,0,1495,0
23,3,0,1044,0
7,12,20,270,0
24,3,0,1217,0
14,8,3,629,1
24,2,0,1150,0
25,0,0,1215,0
25,1,0,1096,0
23,5,0,1495,0
23,4,0,1044,0
7,13,20,270,0
24,4,0,1217,0
15,0,3,649,0
24,3,0,1150,0
25,1,0,1215,0
25,2,0,1096,0
23,6,0,1495,1
23,5,0,1044,0
7,14,20,270,0
24,5,0,1217,0
15,1,3,649,0
24,4,0,1150,0
25,2,0,1215,0
25,3,0,1096,0
24,0,0,1516,0
23,6,0,1044,1
7,15,20,270,0
24,6,0,1217,1
15,2,3,649,0
24,5,0,1150,0
25,3,0,1215,0
25,4,0,1096,0
24,1,0,1516,0
24,0,0,1063,0
7,16,20,270,0
25,0,0,1230,0
15,3,3,649,0
24,6,0,1150,1
25,4,0,1215,0
25,5,0,1096,0
24,2,0,1516,0
24,1,0,1063,0
7,17,20,270,0
25,1,0,1230,0
15,4,3,649,0
25,0,0,1162,0
25,5,0,1215,0
25,6,0,1096,1
24,3,0,1516,0
24,2,0,1063,0
7,18,20,270,0
25,2,0,1230,0
15,5,3,649,0
25,1,0,1162,0
25,6,0,1215,1
26,0,0,1145,0
24,4,0,1516,0
24,3,0,1063,0
7,19,20,270,0
25,3,0,1230,0
15,6,3,649,0
25,2,0,1162,0
26,0,0,1236,0
26,1,0,1145,0
24,5,0,1516,0
24,4,0,1063,0
7,20,20,270,1
25,4,0,1230,0
15,7,3,649,0
25,3,0,1162,0
26,1,0,1236,0
26,2,0,1145,0
24,6,0,1516,1
24,5,0,1063,0
8,0,20,285,0
25,5,0,1230,0
15,8,3,649,0
25,4,0,1162,0
26,2,0,1236,0
26,3,0,1145,0
25,0,0,1562,0
24,6,0,1063,1
8,1,20,285,0
25,6,0,1230,1
15,9,3,649,0
25,5,0,1162,0
26,3,0,1236,0
26,4,0,1145,0
25,1,0,1562,0
25,0,0,1091,0
8,2,20,285,0
26,0,0,1264,0
15,10,3,649,0
25,6,0,1162,1
26,4,0,1236,0
26,5,0,1145,0
25,2,0,1562,0
25,1,0,1091,0
8,3,20,285,0
26,1,0,1264,0
15,11,3,649,1
26,0,0,1180,0
26,5,0,1236,0
26,6,0,1145,0
25,3,0,1562,0
25,2,0,1091,0
8,4,20,285,0
26,2,0,1264,0
16,0,3,669,0
26,1,0,1180,0
26,6,0,1236,0
26,7,0,1145,1
25,4,0,1562,0
25,3,0,1091,0
8,5,20,285,0
26,3,0,1264,0
16,1,3,669,0
26,2,0,1180,0
26,7,0,1236,1
27,0,0,1173,0
25,5,0,1562,0
25,4,0,1091,0
8,6,20,285,0
26,4,0,1264,0
